job_title,company,location,info,posted,datetime,job_link,comp_link
Business Data Analyst (Power BI),Queen Consulting Group,"Quincy, MA",Actively Hiring,5 days ago,2023-09-02,https://www.linkedin.com/jobs/view/business-data-analyst-power-bi-at-queen-consulting-group-3710864337?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=cb51%2Bn92mdhxMZdw4gmGRQ%3D%3D&position=13&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/queen-consulting-group?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst (ONSITE ONLY),Alamance Foods Inc,"Burlington, NC",0,1 week ago,2023-09-01,https://www.linkedin.com/jobs/view/data-analyst-onsite-only-at-alamance-foods-inc-3710175210?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=kK3V9UYyeg1PcY43dpPI3w%3D%3D&position=14&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/alamance-foods-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
Senior Data Analyst,Staff Financial Group,"Duluth, GA",Actively Hiring,2 weeks ago,2023-08-23,https://www.linkedin.com/jobs/view/senior-data-analyst-at-staff-financial-group-3693542537?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=LnpNIsvaqPZLo4kGl%2Bp4jA%3D%3D&position=15&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/staff-financial-group?trk=public_jobs_jserp-result_job-search-card-subtitle
Healthcare Data Analyst,Infinity Healthcare Consulting,"Fort Lauderdale, FL",0,1 day ago,2023-09-06,https://www.linkedin.com/jobs/view/healthcare-data-analyst-at-infinity-healthcare-consulting-3713978224?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=mekWzCitNuSIRsyRs6XNPQ%3D%3D&position=16&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/infinityhealthcareconsulting?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst I,Robert Half,"Plano, TX",Actively Hiring,1 week ago,2023-08-25,https://www.linkedin.com/jobs/view/data-analyst-i-at-robert-half-3700280888?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=Ftev%2B7fZisMI0%2Fxxtd64ew%3D%3D&position=17&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/robert-half-international?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst II,Consolidated Analytics,United States,0,2 weeks ago,2023-08-24,https://www.linkedin.com/jobs/view/data-analyst-ii-at-consolidated-analytics-3699459119?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=b6oBiUrcLvW1AvYpDSf%2FIQ%3D%3D&position=18&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/consolidated-analytics?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,Orange County's Credit Union,"Santa Ana, CA",0,1 week ago,2023-08-28,https://www.linkedin.com/jobs/view/data-analyst-at-orange-county-s-credit-union-3702357928?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=G1tFOHU9hHiu6%2FPcmm1nIg%3D%3D&position=19&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/orange-county%27s-credit-union?trk=public_jobs_jserp-result_job-search-card-subtitle
Business Data Analyst II,DHL Supply Chain,"Westerville, OH",Actively Hiring,6 days ago,2023-09-02,https://www.linkedin.com/jobs/view/business-data-analyst-ii-at-dhl-supply-chain-3706133157?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=WuayII9%2FIMHLbx0FsIn26A%3D%3D&position=20&pageNum=13&trk=public_jobs_jserp-result_search-card,https://de.linkedin.com/company/dhl-supply-chain?trk=public_jobs_jserp-result_job-search-card-subtitle
Intelligence Analyst,Lockheed Martin,"Fort Worth, TX",Be an early applicant,3 weeks ago,2023-08-13,https://www.linkedin.com/jobs/view/intelligence-analyst-at-lockheed-martin-3706558869?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=JK5Z9UotoiKRyfqUx5%2BzsQ%3D%3D&position=21&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/lockheed-martin?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst III,MindSource,"Cupertino, CA",Actively Hiring,1 month ago,2023-07-21,https://www.linkedin.com/jobs/view/data-analyst-iii-at-mindsource-3670060898?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=409GglXf9jlR1AlHFt8aGg%3D%3D&position=22&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/mindsource?trk=public_jobs_jserp-result_job-search-card-subtitle
"Data Quality Analyst (Marketing Data, Salesforce, MarTech, AdTech)",Steneral Consulting,United States,Actively Hiring,2 weeks ago,2023-08-22,https://www.linkedin.com/jobs/view/data-quality-analyst-marketing-data-salesforce-martech-adtech-at-steneral-consulting-3697301588?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=cuu8fU1%2F%2Fqc05F1ppA%2FJZw%3D%3D&position=23&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/steneral-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle
DATA RESEARCH ANALYST,NYC Department of Social Services,"Brooklyn, NY",Actively Hiring,6 days ago,2023-09-01,https://www.linkedin.com/jobs/view/data-research-analyst-at-nyc-department-of-social-services-3710179190?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=I8yAcLdu5BaQEkDCfPD7Zw%3D%3D&position=24&pageNum=13&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/nyc-department-of-social-services?trk=public_jobs_jserp-result_job-search-card-subtitle
